id,created_at,updated_at,name,slug,description,price,category_id,user_id,images
1,2023-03-16 23:37:53,2023-03-16 23:37:55,"Apple iPhone 14 128Gb, желтый",apple_iphone_14_128gb_zheltyy,"Встречайте iPhone 14 и большой iPhone 14 Plus. С функцией распознавания аварий. Сроком службы батареи больше, чем когда-либо. И ещё более впечатляющими снимками при слабом освещении. Всё в пяти великолепных цветах.",899,2,1,
3,2023-03-16 23:51:57,2023-03-16 23:52:00,"Apple iPhone 14 Plus 256Gb, (PRODUCT)RED",apple_iphone_14_plus_128gb_product_red,"Встречайте iPhone 14 и большой iPhone 14 Plus. С функцией распознавания аварий. Сроком службы батареи больше, чем когда-либо. И ещё более впечатляющими снимками при слабом освещении. Всё в пяти великолепных цветах.",899,2,,
4,2023-03-16 23:53:47,2023-03-16 23:53:49,"Apple iPhone 14 256Gb, голубой",apple_iphone_14_256gb_goluboy,"Встречайте iPhone 14 и большой iPhone 14 Plus. С функцией распознавания аварий. Сроком службы батареи больше, чем когда-либо. И ещё более впечатляющими снимками при слабом освещении. Всё в пяти великолепных цветах.",899,2,,
6,2023-03-16 23:58:18,2023-03-16 23:58:20,"Apple iPhone 14 Pro Max, 256 ГБ, золотой",apple_iphone_14_pro_max_256_gb_zolotoy,"Волшебный способ взаимодействия с вашим iPhone. Революционные функции безопасности, разработанные для спасения жизней. Инновационная основная камера 48 Мп. И дисплей, который до 2 раз ярче на солнце.◊ Все это работает на новейшем чипе для смартфонов.",1099,2,,
7,2023-03-16 23:58:50,2023-03-16 23:58:52,"Apple iPhone 14 Pro Max, 128 ГБ, серебристый",apple_iphone_14_pro_max_128_gb_serebristyy,"Волшебный способ взаимодействия с вашим iPhone. Революционные функции безопасности, разработанные для спасения жизней. Инновационная основная камера 48 Мп. И дисплей, который до 2 раз ярче на солнце.◊ Все это работает на новейшем чипе для смартфонов.",1099,2,,
9,2023-03-17 00:03:18,2023-03-17 00:03:21,"Apple Watch Series 8, 45 мм, корпус из алюминия цвета (PRODUCT)RED, спортивный ремешок цвета (PRODUCT)RED",apple_watch_series_8_45_mm_korpus_iz_alyuminiya_tsveta_product_red_sportivnyy_remeshok_tsveta_produc,"Ваш незаменимый компаньон стал ещё мощнее. Измерение температуры◊, чтобы получить более полное представление о здоровье женщин.◊ «Распознавание аварий» для большего спокойствия.◊ «Стадии сна», чтобы лучше понять свои циклы сна◊ — будущее заботы о здоровье никогда не выглядело так хорошо.",599,3,,
11,2023-03-17 00:05:57,2023-03-17 00:05:55,Часы Apple Watch SE 2022 40мм корпус из алюминия серебро + ремешок Белый,chasy_apple_watch_se_gps_40mm_korpus_iz_alyuminiya_serebro_remeshok_belyy,"Три стильных цвета корпуса. Мощные датчики для понимания вашего здоровья и физической формы. Инновационные функции безопасности. Удобные способы оставаться на связи. Более быстрый двухъядерный процессор для дополнительной производительности. Apple Watch SE многофункциональны, и теперь они выгоднее, чем когда-либо.",299,3,,
12,2023-03-17 00:06:44,2023-03-17 00:06:46,"Apple Watch Ultra GPS + Cellular, 49 мм, корпус из титана, ремешок Alpine оранжевого цвета",apple_watch_ultra_gps_cellular_49_mm_korpus_iz_titana_remeshok_alpine_oranzhevogo_tsveta,"Бескомпромиссные возможности в прочном корпусе. Непревзойдённая
точность GPS даже в мегаполисе. До 36 часов работы от батареи.
Три разных, специально разработанных ремешка для спортсменов
и искателей приключений всех мастей. Все функции, необходимые
для поддержания здоровья, безопасности и связи.",999,3,,
14,2023-03-17 00:10:27,2023-03-17 00:10:29,"Наушники Apple AirPods Pro (2-го поколения, 2022), белый",airpodspro2,"Инженеры сделали самые технологичные полностью
беспроводные наушники ещё более удобными.
Максимально эффективное активное
шумоподавление, адаптивный режим прозрачности,
атмосферное пространственное аудио - благодаря
чипсет следующего поколения всё это вышло
на новый уровень.",399,4,,
16,2023-03-17 00:12:16,2023-03-17 00:12:19,"Беспроводные наушники Apple AirPods Max, «розовый»",airpodsmax,"Беспроводные наушники Apple AirPods Max, «розовый»",699,4,,
18,2023-03-16 21:14:00.044,2023-03-17 00:13:55,"Apple iPad Pro 12.9 M2 (2022) WiFi + 5G 128Gb, серый космос",apple_ipad_pro_12_9_m2_2022_wifi_5g_128gb_seryy_kosmos,"Это высший уровень iPad. Теперь с потрясающей производительностью чипа M2, великолепным дисплеем Liquid Retina XDR 12,9 дюйма и поддержкой быстрой беспроводной связи.◊ Полный вперёд.",999,5,,
2,2023-03-16 23:50:05,2023-03-16 23:50:07,"Apple iPhone 14 256Gb, фиолетовый",apple_iphone_14_128gb_fioletovyy,"Встречайте iPhone 14 и большой iPhone 14 Plus. С функцией распознавания аварий. Сроком службы батареи больше, чем когда-либо. И ещё более впечатляющими снимками при слабом освещении. Всё в пяти великолепных цветах.",899,2,,
20,2023-03-17 00:15:48,2023-03-17 00:15:46,"Apple MacBook Pro 16"" (M2 Pro 12C CPU, 19C GPU, 2022) 16 ГБ, 1 ТБ SSD, «серый космос»",apple_macbook_pro_16_m2_pro_12c_cpu_19c_gpu_2022_16_gb_1_tb_ssd_seryy_kosmos,"Новый предел
возможного
MacBook Pro с суперсилой M2 Pro или M2 Max стал ещё более мощным
и эффективным, чем когда-либо. Работает без подзарядки весь день,
имеет превосходный дисплей Liquid Retina XBM и все необходимые
порты. Настоящий Pro, которого вы так долго ждали.",1599,6,,